athlete_number,name,distance_meters,moving_time_secons,elapsed_time,total_elevation_gain,type,average_speed,max_speed,average_watts,max_watts,weighted_average_watts,kilojoules,average_heartrate,max_heartrate,elev_high,elev_low,start_date
27746857,Morning Walk,2227,1439,1492,19.2,Walk,1.548,6.882,,,,,117.8,125,28.6,9.3,2025-11-25T08:35:16Z
27746857,Afternoon Walk,2263.7,1504,1786,13.2,Walk,1.505,2.5,,,,,107.3,138,13.2,0,2025-11-24T17:07:20Z
27746857,Morning Walk,2268.1,1430,1793,19,Walk,1.586,6.203,,,,,102.3,119,28.6,9.3,2025-11-24T08:34:04Z
27746857,Morning Walk,283.6,194,194,0,Walk,1.462,1.9,,,,,98.3,104,0,0,2025-11-23T10:36:51Z
27746857,Morning Ride,0,262,262,0,Ride,0,0,,,,,107,117,0,0,2025-11-23T10:24:11Z
27746857,Morning Elliptical,0,472,472,0,Elliptical,0,0,,,,,110.8,125,0,0,2025-11-23T10:12:20Z
27746857,Morning Walk,2159.7,1241,1961,40.6,Walk,1.74,2.327,,,,,99,115,33.2,0,2025-11-21T08:27:29Z
27746857,Afternoon Elliptical,0,1308,1308,0,Elliptical,0,0,,,,,103,108,0,0,2025-11-20T17:50:52Z
27746857,Afternoon Walk,1708.8,1186,1468,9.1,Walk,1.441,4.6,,,,,99.5,112,15.9,10.1,2025-11-20T17:26:02Z
27746857,Evening Walk,2637.8,1816,2210,33.8,Walk,1.453,7.418,,,,,97.1,113,28.2,0,2025-11-19T18:03:38Z
27746857,Evening Walk,2310.2,1801,2636,32,Walk,1.283,4.529,,,,,98.3,132,33.6,0,2025-11-18T19:23:36Z
27746857,Afternoon Elliptical,0,3543,3543,0,Elliptical,0,0,,,,,114.9,127,0,0,2025-11-18T17:06:25Z
27746857,Afternoon Walk,3923.1,2531,3018,30.4,Walk,1.55,6.348,,,,,102.3,113,19.2,0,2025-11-18T16:15:52Z
27746857,Morning Walk,2108.4,1269,1453,28.4,Walk,1.661,2.407,,,,,104,118,24.2,0,2025-11-18T08:34:18Z
27746857,Afternoon Walk,2785.2,1656,2355,19.4,Walk,1.682,2.327,,,,,102.9,127,16.8,0,2025-11-17T16:57:08Z
